customer_id,age,occupation_status,years_employed,annual_income,credit_score,credit_history_years,savings_assets,current_debt,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,product_type,loan_intent,loan_amount,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio,loan_status,issue_date
INDCUST000001,63,Employed,12.0,120000,778,3.3,100000,41513,1,0,0,Personal Loan,Debt Consolidation,373750,16.89,0.346,3.115,0.11,0,2018-05-10
INDCUST000002,42,Employed,19.9,51250,417,5.4,41250,16336,0,2,0,Personal Loan,Business,152500,13.21,0.319,2.976,0.228,0,2020-12-11
INDCUST000003,22,Employed,16.3,113750,506,6.4,160000,53285,0,1,0,Credit Card,Home Improvement,371250,15.49,0.468,3.264,0.105,0,2024-11-01
INDCUST000004,48,Employed,6.5,102500,467,7.3,98750,48487,0,1,0,Personal Loan,Business,383750,15.84,0.473,3.744,0.119,0,2019-03-22
INDCUST000005,25,Employed,7.6,122500,382,7.0,62500,51401,0,2,0,Credit Card,Home Improvement,302500,15.32,0.42,2.469,0.141,0,2019-08-17
INDCUST000006,64,Employed,17.9,60000,319,18.6,63750,29100,0,1,0,Credit Card,Education,168750,13.66,0.485,2.812,0.196,0,2015-09-11
INDCUST000007,22,Employed,17.4,108750,678,15.8,53750,53196,0,1,0,Business Loan,Home Improvement,412500,10.34,0.489,3.793,0.295,0,2023-06-16
INDCUST000008,45,Employed,19.1,71250,382,10.4,75000,16486,0,0,0,Business Loan,Home Improvement,187500,18.04,0.231,2.632,0.116,0,2016-03-12
INDCUST000009,62,Employed,25.7,10000,782,14.9,7500,2776,0,2,0,Personal Loan,Business,27500,20.25,0.278,2.75,0.174,0,2017-04-23
INDCUST000010,32,Employed,24.4,13750,388,4.2,20000,2319,0,0,0,Credit Card,Home Improvement,53750,20.16,0.169,3.909,0.293,0,2024-03-10
INDCUST000011,51,Employed,28.0,36250,547,13.1,38750,12400,0,2,1,Credit Card,Home Improvement,140000,10.56,0.342,3.862,0.195,0,2015-12-19
INDCUST000012,32,Employed,19.5,83750,538,9.7,80000,12658,0,0,0,Business Loan,Business,283750,13.11,0.151,3.388,0.198,0,2020-12-17
INDCUST000013,51,Employed,22.6,62500,311,13.1,53750,8938,1,1,0,Credit Card,Debt Consolidation,145000,14.25,0.143,2.32,0.173,0,2019-05-01
INDCUST000014,56,Employed,2.0,113750,679,7.1,62500,43988,0,0,0,Credit Card,Education,393750,18.14,0.387,3.462,0.092,0,2019-01-15
INDCUST000015,41,Employed,25.3,23750,469,1.7,23750,12987,0,0,0,Credit Card,Home Improvement,92500,10.41,0.547,3.895,0.163,0,2022-12-05
INDCUST000016,57,Employed,29.8,58750,794,6.2,55000,30085,0,0,0,Business Loan,Business,133750,18.46,0.512,2.277,0.065,0,2020-10-05
